City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,75.2,scattered clouds,-21.21,-159.78,Paradise Inn
3,Busselton,AU,82.99,clear sky,-33.65,115.33,Observatory Guest House
6,Kavieng,PG,85.12,broken clouds,-2.57,150.8,Nusa Island Retreat
9,Kuala Terengganu,MY,87.8,scattered clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
22,Hithadhoo,MV,83.93,overcast clouds,-0.6,73.08,Scoop Guest House
32,Kudahuvadhoo,MV,82.74,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
35,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
46,Lazaro Cardenas,MX,76.69,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
48,Buala,SB,84.51,light rain,-8.14,159.59,Maringe Lagoon Lodge
50,Hilo,US,78.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
52,Axim,GH,78.28,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
56,Riohacha,CO,76.73,overcast clouds,11.54,-72.91,Hotel Taroa
60,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
61,Sibolga,ID,86.92,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
62,Cabedelo,BR,75.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
63,Pandan,PH,82.33,moderate rain,14.05,124.17,Bonifacio Lodge
70,Victoria,HK,88.0,scattered clouds,22.29,114.16,Mini Hotel Central
71,Pochutla,MX,75.99,overcast clouds,15.74,-96.47,Hotel Posada San Jose
91,Quatre Cocos,MU,78.01,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
93,Padang,ID,84.42,overcast clouds,-0.95,100.35,Mercure Padang
96,Faanui,PF,79.3,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Malakal,SS,75.63,overcast clouds,9.53,31.66,Nile Palace Hotel
