City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gat,IL,31.61,34.76,62.01,72,0,4.14,clear sky
1,Tomatlan,MX,19.93,-105.25,71.85,93,1,2.44,clear sky
2,Avarua,CK,-21.21,-159.78,75.2,83,50,5.82,scattered clouds
3,Busselton,AU,-33.65,115.33,82.99,29,0,8.34,clear sky
4,Adrar,MR,20.5,-10.07,80.11,29,60,11.36,broken clouds
5,Heishan,CN,41.69,122.11,58.42,30,0,17.09,clear sky
6,Kavieng,PG,-2.57,150.8,85.12,65,84,11.54,broken clouds
7,Thompson,CA,55.74,-97.86,14.0,92,90,6.93,light snow
8,Esperance,AU,-33.87,121.9,62.6,72,90,14.99,overcast clouds
9,Kuala Terengganu,MY,5.33,103.14,87.8,74,40,6.93,scattered clouds
10,Albany,US,42.6,-73.97,53.01,56,25,3.98,scattered clouds
11,Hermanus,ZA,-34.42,19.23,59.0,81,5,18.05,clear sky
12,Longyearbyen,SJ,78.22,15.64,33.8,86,90,13.87,light snow
13,Rikitea,PF,-23.12,-134.97,71.65,70,52,16.35,broken clouds
14,Yulara,AU,-25.24,130.99,91.4,9,19,10.29,few clouds
15,Wagar,SD,16.15,36.2,76.53,64,0,3.94,clear sky
16,Ribeira Grande,PT,38.52,-28.7,58.89,69,61,28.39,light rain
17,Chuy,UY,-33.7,-53.46,60.55,93,94,6.82,overcast clouds
18,Mataura,NZ,-46.19,168.86,45.7,92,99,4.03,light rain
19,Leningradskiy,RU,69.38,178.42,26.69,97,100,18.68,light snow
20,Dikson,RU,73.51,80.55,-0.26,89,0,6.46,clear sky
21,Puerto Ayora,EC,-0.74,-90.35,68.0,81,0,5.99,clear sky
22,Hithadhoo,MV,-0.6,73.08,83.93,67,89,4.16,overcast clouds
23,Upernavik,GL,72.79,-56.15,-4.83,80,0,12.86,clear sky
24,Sarkand,KZ,45.41,79.92,57.61,27,0,2.62,clear sky
25,Kashi,CN,39.45,75.98,50.0,23,0,6.71,clear sky
26,Sorland,NO,67.67,12.69,43.72,85,100,38.65,overcast clouds
27,Kandi,BJ,11.13,2.94,70.41,39,0,2.26,clear sky
28,Solnechnyy,RU,50.72,136.63,28.02,85,74,3.2,broken clouds
29,Bethel,US,41.37,-73.41,57.0,93,1,5.86,clear sky
30,Cape Town,ZA,-33.93,18.42,61.0,93,75,13.87,broken clouds
31,Uruana,BR,-15.5,-49.69,72.97,77,100,5.37,overcast clouds
32,Kudahuvadhoo,MV,2.67,72.89,82.74,69,36,2.62,scattered clouds
33,Hobart,AU,-42.88,147.33,57.99,50,40,16.11,scattered clouds
34,Myrtle Beach,US,33.69,-78.89,69.01,94,1,5.82,clear sky
35,Vaini,TO,-21.2,-175.2,78.8,74,20,10.29,few clouds
36,Tiksi,RU,71.69,128.87,-5.03,93,65,2.91,broken clouds
37,Punta Arenas,CL,-53.15,-70.92,48.2,66,90,13.87,overcast clouds
38,Saskylakh,RU,71.92,114.08,-4.85,91,87,2.77,overcast clouds
39,Flin Flon,CA,54.77,-101.86,13.15,97,97,3.6,overcast clouds
40,Bredasdorp,ZA,-34.53,20.04,51.8,87,22,6.93,few clouds
41,Alyangula,AU,-13.85,136.42,98.6,42,40,10.29,scattered clouds
42,Margate,GB,51.38,1.39,51.01,81,1,8.37,clear sky
43,Zakamensk,RU,50.37,103.29,28.58,80,26,2.01,scattered clouds
44,Jamestown,US,42.1,-79.24,53.6,58,1,8.05,clear sky
45,Kapaa,US,22.08,-159.32,80.6,74,75,14.99,broken clouds
46,Lazaro Cardenas,MX,17.96,-102.2,76.69,87,53,3.04,broken clouds
47,Sao Felix Do Xingu,BR,-6.64,-51.99,71.35,97,94,2.46,light rain
48,Buala,SB,-8.14,159.59,84.51,67,24,3.22,light rain
49,Tateyama,JP,34.98,139.87,70.0,83,75,14.99,broken clouds
50,Hilo,US,19.73,-155.09,78.8,69,1,2.51,clear sky
